what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1478285959032
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1478285959033
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1478285959034
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1478285959062
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1478285959063
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1478285959064
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1478285959064
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1478285959065
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1478285959065
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1478285959066
os,sysinfo,,,"win32",1478285959068
arch,sysinfo,,,"x86",1478285959068
ws,sysinfo,,,"win32",1478285959068
locale,sysinfo,,,"en_US",1478285959068
processors,sysinfo,,,"4",1478285959068
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1478285959068
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1478285959068
java.specification.name,sysinfo,,,"Java Platform API Specification",1478285959068
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1478285959068
java.specification.version,sysinfo,,,"1.6",1478285959068
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1478285959068
java.version,sysinfo,,,"1.6.0_23",1478285959068
java.vm.info,sysinfo,,,"mixed mode",1478285959068
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1478285959068
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1478285959068
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1478285959068
java.vm.specification.version,sysinfo,,,"1.0",1478285959068
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1478285959068
java.vm.version,sysinfo,,,"19.0-b09",1478285959068
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1478285959398
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1478285959969
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1478285960227
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1478285960838
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1478285964937
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1478285969825
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1478285970302
